name,earnings
Michael Schumacher, 600
Lewis Hamilton,285
Fernando Alonso,260
Kimi Räikkönen,250
Niki Lauda,200
Jenson Button,150
Sebastian Vettel,140
Mario Andretti,130
Eddie Irvine,120
Alain Prost,100
Max Verstappen,120
